Base,Tail Number,Min Quantity,Max Quantity,Total
SAT2,"",1.0,300.0,5.37089
SAT2,"",301.0,1200.0,5.26989
SAT2,"",1201.0,999999.0,5.13589
SAV,"",1.0,300.0,5.83224
SAV,"",301.0,1200.0,5.778
SAV,"",1201.0,999999.0,5.73417
SBA,"",1.0,300.0,6.99867
SBA,"",301.0,1200.0,6.9537
SBA,"",1201.0,999999.0,6.73476
SBN,"",1.0,300.0,5.50865
SBN,"",301.0,1200.0,5.46164
SBN,"",1201.0,999999.0,5.32059
SDL,"",1.0,500.0,5.45691
SDL,"",501.0,1200.0,5.44798
SDL,"",1201.0,999999.0,5.43277
SEA,"",1.0,500.0,7.97478
SEA,"",501.0,1200.0,7.91958
SEA,"",1201.0,999999.0,7.86438
SFO,"",1.0,500.0,9.04902
SFO,"",501.0,1200.0,9.04902
SFO,"",1201.0,999999.0,9.04902
SHV,"",1.0,300.0,6.80871
SHV,"",301.0,1200.0,6.65436
SHV,"",1201.0,999999.0,6.19131
SJC,"",1.0,500.0,7.28192
SJC,"",501.0,1200.0,7.2322
SJC,"",1201.0,999999.0,7.18248
SLC,"",1.0,500.0,6.83519
SLC,"",501.0,1200.0,6.82691
SLC,"",1201.0,999999.0,6.75791
STL,"",1.0,500.0,7.32324
STL,"",501.0,1200.0,6.89771
STL,"",1201.0,999999.0,6.84824
STP,"",1.0,300.0,5.74477
STP,"",301.0,1200.0,5.72895
STP,"",1201.0,999999.0,5.51695
SU2,"",1.0,500.0,4.09082
SU2,"",501.0,1200.0,4.07587
SU2,"",1201.0,999999.0,3.91136
SWF,"",1.0,300.0,7.66869
SWF,"",301.0,1200.0,7.56765
SWF,"",1201.0,999999.0,7.31505
TEB,"",1.0,500.0,6.16409
TEB,"",501.0,1200.0,6.06922
TEB,"",1201.0,999999.0,5.97435
TEB2,"",1.0,1200.0,6.15809
TEB2,"",1201.0,999999.0,5.96835
TEB4,"",1.0,500.0,6.16409
TEB4,"",501.0,1200.0,6.06922
TEB4,"",1201.0,999999.0,5.97435
TEB4,N125TH,1.0,500.0,6.16409
TEB4,N125TH,501.0,1200.0,6.06922
