AIRPORT CODE,FBO,CITY,STATE,PHONE NUMBER,AVGAS QUANTITY,AVGAS PRICE PER UNIT,JET A WITH ADD QUANTITY,JET A WITH ADD PRICE PER UNIT,JET A QUANTITY,JET A PRICE PER UNIT,CN JET A QUANTITY,CN JET A PRICE PER UNIT,CN JET A WITH ADD QUANTITY,CN JET A WITH ADD PRICE PER UNIT,SAF QUANTITY,SAF PRICE PER UNIT,SAF WITH ADD QUANTITY,SAF WITH ADD PRICE PER UNIT,ICAO
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 1 - 200,$7.19 , 1 - 200,$7.09 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 201 - 400,$6.69 , 201 - 400,$6.59 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 401 - 750,$6.37 , 401 - 750,$6.27 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 751 - 1000,$6.31 , 751 - 1000,$6.21 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 1001 - 1500,$6.16 , 1001 - 1500,$6.06 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,, 1501 - 2000,$5.71 , 1501 - 2000,$5.61 ,,,,,,,,,KBED
BED,Jet Aviation KBED,Bedford,MA,781-274-0030,,,2001+,$5.61 ,2001+,$5.51 ,,,,,,,,,KBED
BFI,Modern Aviation BFI,Seattle,WA,206-762-6000,,,1+,$5.01 ,1+,$4.84 ,,,,,,,,,KBFI
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,, 0 - 100,$6.91 , 0 - 100,$6.75 ,,,,,,,,,KBFL
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,, 101 - 200,$6.77 , 101 - 200,$6.61 ,,,,,,,,,KBFL
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,, 201 - 300,$6.61 , 201 - 300,$6.45 ,,,,,,,,,KBFL
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,, 301 - 400,$6.45 , 301 - 400,$6.29 ,,,,,,,,,KBFL
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,, 401 - 500,$6.29 , 401 - 500,$6.13 ,,,,,,,,,KBFL
BFL,Atlantic BFL,Bakersfield,CA,945-348-3090,,,501+,$6.14 ,501+,$5.98 ,,,,,,,,,KBFL
BFL,Epic Jet Center LLC,Bakersfield,CA,661-399-7011,,,All Quantities,$5.08 ,All Quantities,$4.99 ,,,,,,,,,KBFL
BFZ,Albertville Aviation Inc,Albertville,AL,256-878-1433,,,All Quantities,$5.38 ,All Quantities,$5.38 ,1+,$0.21 ,,,1+,$0.21 ,,,KBFZ
BGF,Winchester Municipal Airport,Winchester,TN,931-967-3148,,,All Quantities,$4.55 ,All Quantities,$4.55 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KBGF
BGI,Cayman Dispatch - Barbados,Seawell,,345-949-8960,,,All Quantities,$3.90 ,All Quantities,$3.90 ,,,,,,,,,TBPB
BGM,BGM Services,Johnson City,NY,607-644-1062,,, 1 - 500,$5.87 , 1 - 500,$5.82 ,,,,,,,,,KBGM
BGM,BGM Services,Johnson City,NY,607-644-1062,,, 501 - 1000,$5.58 , 501 - 1000,$5.53 ,,,,,,,,,KBGM
BGM,BGM Services,Johnson City,NY,607-644-1062,,,1001+,$5.37 ,1001+,$5.32 ,,,,,,,,,KBGM
BGR,BGR Domestic,Bangor,ME,207-992-4582,,, 0 - 1000,$4.14 , 0 - 1000,$4.08 ,,,,,,,,,KBGR
BGR,BGR Domestic,Bangor,ME,207-992-4582,,, 1001 - 3000,$4.07 , 1001 - 3000,$4.01 ,,,,,,,,,KBGR
BGR,BGR Domestic,Bangor,ME,207-992-4582,,,3001+,$3.98 ,3001+,$3.92 ,,,,,,,,,KBGR
BGR,BGR International,Bangor,ME,207-992-4582,,, 0 - 1000,$4.11 , 0 - 1000,$4.05 ,,,,,,,,,KBGR
BGR,BGR International,Bangor,ME,207-992-4582,,, 1001 - 3000,$4.04 , 1001 - 3000,$3.98 ,,,,,,,,,KBGR
BGR,BGR International,Bangor,ME,207-992-4582,,,3001+,$3.95 ,3001+,$3.89 ,,,,,,,,,KBGR
BHB,Modern Aviation BHB,Trenton,ME,207-667-5534,,, 0 - 349,$7.25 , 0 - 349,$7.10 ,,,,,,,,,KBHB
BHB,Modern Aviation BHB,Trenton,ME,207-667-5534,,, 350 - 799,$7.21 , 350 - 799,$7.06 ,,,,,,,,,KBHB
BHB,Modern Aviation BHB,Trenton,ME,207-667-5534,,, 800 - 1199,$7.16 , 800 - 1199,$7.01 ,,,,,,,,,KBHB
BHB,Modern Aviation BHB,Trenton,ME,207-667-5534,,,1200+,$7.06 ,1200+,$6.91 ,,,,,,,,,KBHB
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,, 0 - 100,$6.74 , 0 - 100,$6.59 ,,,,,,,,,KBHM
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,, 101 - 200,$6.56 , 101 - 200,$6.41 ,,,,,,,,,KBHM
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,, 201 - 300,$6.38 , 201 - 300,$6.23 ,,,,,,,,,KBHM
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,, 301 - 400,$6.20 , 301 - 400,$6.05 ,,,,,,,,,KBHM
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,, 401 - 500,$6.02 , 401 - 500,$5.87 ,,,,,,,,,KBHM
BHM,Atlantic BHM West,Birmingham,AL,945-348-3090,,,501+,$5.84 ,501+,$5.69 ,,,,,,,,,KBHM
BIH,Bishop Airport,Bishop,CA,760-872-2971,,,All Quantities,$6.81 ,All Quantities,$6.81 ,,,,,,,,,KBIH
BKT,Partner Aviation,Blackstone,VA,434-292-7251,,,1+,$5.13 ,1+,$5.13 ,1+,$0.00 ,,,1+,$0.00 ,,,KBKT
BKW,Raleigh County Memorial,Beaver,WV,304-255-0476,,,1+,$5.57 ,1+,$5.57 ,1+,$0.00 ,,,1+,$0.00 ,,,KBKW
BKX,Pheasants Fury Aviation LLC,Brookings,SD,605-376-9708,,, 0 - 999,$5.16 , 0 - 999,$5.16 ,1+,$0.00 ,,,1+,$0.00 ,,,KBKX
BKX,Pheasants Fury Aviation LLC,Brookings,SD,605-376-9708,,,1000+,$4.92 ,1000+,$4.92 ,,,,,,,,,KBKX
BLM,Monmouth Jet Center,Wall Township,NJ,732-751-0044,,, 1 - 350,$5.84 , 1 - 350,$5.79 ,,,,,,,,,KBLM
BLM,Monmouth Jet Center,Wall Township,NJ,732-751-0044,,, 351 - 700,$5.75 , 351 - 700,$5.70 ,,,,,,,,,KBLM
BLM,Monmouth Jet Center,Wall Township,NJ,732-751-0044,,,701+,$5.65 ,701+,$5.60 ,,,,,,,,,KBLM
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,, 0 - 300,$7.12 , 0 - 300,$6.96 ,,,,,,,,,KBNA
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,, 301 - 600,$6.96 , 301 - 600,$6.80 ,,,,,,,,,KBNA
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,, 601 - 900,$6.78 , 601 - 900,$6.63 ,,,,,,,,,KBNA
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,, 901 - 1200,$6.59 , 901 - 1200,$6.44 ,,,,,,,,,KBNA
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,, 1201 - 1500,$6.42 , 1201 - 1500,$6.26 ,,,,,,,,,KBNA
BNA,Atlantic BNA,Nashville,TN,945-348-3090,,,1501+,$6.23 ,1501+,$6.07 ,,,,,,,,,KBNA
BOI,Jackson Jet Center BOI,Boise,ID,208-884-6666,,, 1 - 500,$4.80 , 1 - 500,$4.68 ,,,,,,,,,KBOI
BOI,Jackson Jet Center BOI,Boise,ID,208-884-6666,,, 501 - 1000,$4.81 , 501 - 1000,$4.69 ,,,,,,,,,KBOI
BOI,Jackson Jet Center BOI,Boise,ID,208-884-6666,,,1001+,$4.71 ,1001+,$4.59 ,,,,,,,,,KBOI
BPT,Jack Brooks Regional Airport,Beaumont,TX,409-719-4900,,,All Quantities,$6.31 ,All Quantities,$6.26 ,,,,,,,,,KBPT
BQN,Copeca Jet Center,Aquadilla,PR,787-890-1250,,,1+,$6.35 ,1+,$6.35 ,,,,,,,,,TJBQ
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,, 1 - 99,$5.02 , 1 - 99,$5.02 ,1+,$0.00 ,,,1+,$0.00 ,,,KBRL
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,, 100 - 249,$4.98 , 100 - 249,$4.98 ,,,,,,,,,KBRL
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,, 250 - 499,$4.93 , 250 - 499,$4.93 ,,,,,,,,,KBRL
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,, 500 - 749,$4.88 , 500 - 749,$4.88 ,,,,,,,,,KBRL
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,, 750 - 999,$4.83 , 750 - 999,$4.83 ,,,,,,,,,KBRL
BRL,Jet Air Inc BRL,Burlington,IA,309-342-3134,,,1000+,$4.78 ,1000+,$4.78 ,,,,,,,,,KBRL
BST,City of Belfast,Belfast,ME,207-338-3370,,,1+,$5.29 ,1+,$5.29 ,,,,,,,,,KBST
BTR,Velocity FBO Network ,Baton Rouge,LA,239-243-0644,,, 1 - 500,$5.35 , 1 - 500,$5.35 ,1+,$0.00 ,,,1+,$0.00 ,,,KBTR
BTR,Velocity FBO Network ,Baton Rouge,LA,239-243-0644,,, 501 - 1000,$5.25 , 501 - 1000,$5.25 ,,,,,,,,,KBTR
BTR,Velocity FBO Network ,Baton Rouge,LA,239-243-0644,,, 1001 - 1500,$5.14 , 1001 - 1500,$5.14 ,,,,,,,,,KBTR
BTR,Velocity FBO Network ,Baton Rouge,LA,239-243-0644,,, 1501 - 2000,$5.09 , 1501 - 2000,$5.09 ,,,,,,,,,KBTR
BTR,Velocity FBO Network ,Baton Rouge,LA,239-243-0644,,,2001+,$4.93 ,2001+,$4.93 ,,,,,,,,,KBTR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 0 - 300,$6.10 , 0 - 300,$5.93 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 301 - 600,$6.02 , 301 - 600,$5.85 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 601 - 900,$5.91 , 601 - 900,$5.74 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 901 - 1200,$5.81 , 901 - 1200,$5.64 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 1201 - 1500,$5.70 , 1201 - 1500,$5.53 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 1501 - 2500,$5.60 , 1501 - 2500,$5.43 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,, 2501 - 5000,$5.56 , 2501 - 5000,$5.39 ,,,,,,,,,KBUR
BUR,Atlantic BUR,Burbank,CA,945-348-3090,,,5001+,$5.52 ,5001+,$5.35 ,,,,,,,,,KBUR
BUY,SkySouth Aviation Services Inc,Burlington,NC,888-759-7688,,, 1 - 249,$6.16 , 1 - 249,$6.16 ,1+,$0.00 ,,,1+,$0.00 ,,,KBUY
BUY,SkySouth Aviation Services Inc,Burlington,NC,888-759-7688,,, 250 - 399,$5.86 , 250 - 399,$5.86 ,,,,,,,,,KBUY
BUY,SkySouth Aviation Services Inc,Burlington,NC,888-759-7688,,, 400 - 749,$5.54 , 400 - 749,$5.54 ,,,,,,,,,KBUY
BUY,SkySouth Aviation Services Inc,Burlington,NC,888-759-7688,,,750+,$5.00 ,750+,$5.00 ,,,,,,,,,KBUY
BVX,Batesville Regional Airport,Batesville,AR,870-251-1244,,,All Quantities,$5.36 ,All Quantities,$5.36 ,,,,,,,,,KBVX
BVY,Flightlevel Aviation BVY,Danvers,MA,978-774-2070,,,All Quantities,$6.24 ,All Quantities,$6.14 ,,,,,,,,,KBVY
BWG,Co-Mar Aviation LLC,Bowling Green,KY,270-781-9797,,, 1 - 250,$5.93 , 1 - 250,$5.93 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KBWG
BWG,Co-Mar Aviation LLC,Bowling Green,KY,270-781-9797,,, 251 - 500,$5.78 , 251 - 500,$5.78 ,,,,,,,,,KBWG
BWG,Co-Mar Aviation LLC,Bowling Green,KY,270-781-9797,,,501+,$5.67 ,501+,$5.67 ,,,,,,,,,KBWG
BXM,Flight Level Brunswick LLC,Brunswick,ME,207-406-2081,,,1+,$6.20 ,1+,$6.10 ,,,,,,,,,KBXM
BYL,Williamsburg Whitley County Airport,Williamsburg,KY,606-549-2688,,,All Quantities,$4.23 ,All Quantities,$4.24 ,All Quantities,$0.15 ,,,All Quantities,$0.15 ,,,KBYL
BYY,City of Bay City,Bay City,TX,979-244-5037,,,All Quantities,$4.82 ,All Quantities,$4.77 ,,,,,,,,,KBYY
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 1 - 250,$5.11 , 1 - 250,$5.03 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 251 - 500,$5.10 , 251 - 500,$5.02 ,,,,,,,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 501 - 750,$5.07 , 501 - 750,$4.99 ,,,,,,,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 751 - 1000,$5.04 , 751 - 1000,$4.96 ,,,,,,,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 1001 - 1500,$5.01 , 1001 - 1500,$4.93 ,,,,,,,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,, 1501 - 2000,$4.98 , 1501 - 2000,$4.90 ,,,,,,,,,KBZN
BZN,Jet Aviation KBZN,Belgrade,MT,201-462-4000,,,2001+,$4.95 ,2001+,$4.87 ,,,,,,,,,KBZN
CAE,Eagle Aviation CAE,West Columbia,SC,803-822-5538,,, 1 - 300,$5.49 , 1 - 300,$5.38 , 1 - 40,$1.40 ,,, 1 - 40,$1.40 ,,,KCAE
CAE,Eagle Aviation CAE,West Columbia,SC,803-822-5538,,, 301 - 500,$5.40 , 301 - 500,$5.29 , 41 - 299,$1.15 ,,, 41 - 299,$1.15 ,,,KCAE
CAE,Eagle Aviation CAE,West Columbia,SC,803-822-5538,,, 501 - 1000,$5.30 , 501 - 1000,$5.19 , 300 - 499,$1.00 ,,, 300 - 499,$1.00 ,,,KCAE
CAE,Eagle Aviation CAE,West Columbia,SC,803-822-5538,,, 1001 - 1500,$5.20 , 1001 - 1500,$5.09 , 500 - 999,$0.95 ,,, 500 - 999,$0.95 ,,,KCAE
CAE,Eagle Aviation CAE,West Columbia,SC,803-822-5538,,,1501+,$5.00 ,1501+,$4.89 ,1000+,$0.50 ,,,1000+,$0.50 ,,,KCAE
CCO,CCO Airport Services,Newnan,GA,770-254-8102,,,All Quantities,$4.86 ,All Quantities,$4.86 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCCO
CDH,City of Camden,Camden,AR,870-818-3408,,,All Quantities,$6.03 ,All Quantities,$6.03 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCDH
CDW,Air Bound Aviation Inc,Fairfield,NJ,973-575-1833,,,1+,$5.87 ,1+,$5.87 ,,,,,,,,,KCDW
CDW,Air Bound Aviation LLC,Fairfield,NJ,973-575-1833,,,All Quantities,$5.92 ,All Quantities,$5.92 ,,,,,,,,,KCDW
CEC,Cal-Ore Life Flight LLC,Crescent City,CA,707-465-6804,,, 1 - 99,$6.44 , 1 - 99,$6.33 ,,,,,,,,,KCEC
CEC,Cal-Ore Life Flight LLC,Crescent City,CA,707-465-6804,,, 100 - 249,$6.40 , 100 - 249,$6.29 ,,,,,,,,,KCEC
CEC,Cal-Ore Life Flight LLC,Crescent City,CA,707-465-6804,,, 250 - 399,$6.35 , 250 - 399,$6.24 ,,,,,,,,,KCEC
CEC,Cal-Ore Life Flight LLC,Crescent City,CA,707-465-6804,,,400+,$6.30 ,400+,$6.19 ,,,,,,,,,KCEC
CEU,Oconee County Airport,Seneca,SC,864-882-2959,,,All Quantities,$6.35 ,All Quantities,$6.35 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCEU
CEW,Emerald Coast Aviation,Crestview,FL,850-951-3616,,,All Quantities,$6.46 ,All Quantities,$6.40 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCEW
CEY,Murray Calloway County Airport,Murray,KY,270-489-2414,,,All Quantities,$4.79 ,All Quantities,$4.79 ,,,,,,,,,KCEY
CGE,Cambridge-Dorchester Regional AP,Cambridge,MD,410-228-4571,,,1+,$4.59 ,1+,$4.59 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCGE
CGI,Cape Aviation,Cape Girardeau,MO,573-335-6632,,, 1 - 499,$4.65 , 1 - 499,$4.65 ,1+,$0.15 ,,,1+,$0.15 ,,,KCGI
CGI,Cape Aviation,Cape Girardeau,MO,573-335-6632,,,500+,$4.33 ,500+,$4.33 ,,,,,,,,,KCGI
CHA,Wilson Air Center CHA,Chattanooga,TN,423-855-2260,,, 0 - 500,$5.80 , 0 - 500,$5.70 ,1+,$0.00 ,,,1+,$0.00 ,,,KCHA
CHA,Wilson Air Center CHA,Chattanooga,TN,423-855-2260,,, 501 - 1000,$5.75 , 501 - 1000,$5.64 ,,,,,,,,,KCHA
CHA,Wilson Air Center CHA,Chattanooga,TN,423-855-2260,,, 1001 - 2000,$5.70 , 1001 - 2000,$5.59 ,,,,,,,,,KCHA
CHA,Wilson Air Center CHA,Chattanooga,TN,423-855-2260,,,2001+,$5.64 ,2001+,$5.54 ,,,,,,,,,KCHA
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 0 - 200,$7.69 , 0 - 200,$7.53 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 201 - 400,$7.50 , 201 - 400,$7.34 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 401 - 600,$7.30 , 401 - 600,$7.13 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 601 - 800,$7.09 , 601 - 800,$6.93 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 801 - 1000,$6.88 , 801 - 1000,$6.72 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,, 1001 - 2500,$6.68 , 1001 - 2500,$6.51 ,,,,,,,,,KCHS
CHS,Atlantic CHS,North Charleston,SC,945-348-3090,,,2501+,$6.39 ,2501+,$6.23 ,,,,,,,,,KCHS
CIC,Northgate Aviation,Chico,CA,530-893-6727,,,All Quantities,$5.85 ,All Quantities,$5.74 ,,,,,,,,,KCIC
CKB,V1Aviation,Bridgeport,WV,304-842-3400,,, 1 - 500,$5.64 , 1 - 500,$5.54 ,,,,,,,,,KCKB
CKB,V1Aviation,Bridgeport,WV,304-842-3400,,, 501 - 999,$5.55 , 501 - 999,$5.45 ,,,,,,,,,KCKB
CKB,V1Aviation,Bridgeport,WV,304-842-3400,,,1000+,$5.45 ,1000+,$5.35 ,,,,,,,,,KCKB
CKV,Clarksville Regional Airport,Clarksville,TN,931-431-2080,,,All Quantities,$5.68 ,All Quantities,$5.68 ,,,,,,,,,KCKV
CLE,Jets CLE,Cleveland,OH,216-389-6042,,, 1 - 300,$6.31 , 1 - 300,$6.20 ,1+,$0.00 ,,,1+,$0.00 ,,,KCLE
CLE,Jets CLE,Cleveland,OH,216-389-6042,,, 301 - 500,$6.22 , 301 - 500,$6.11 ,,,,,,,,,KCLE
CLE,Jets CLE,Cleveland,OH,216-389-6042,,, 501 - 1000,$6.07 , 501 - 1000,$5.96 ,,,,,,,,,KCLE
CLE,Jets CLE,Cleveland,OH,216-389-6042,,, 1001 - 1499,$5.97 , 1001 - 1499,$5.86 ,,,,,,,,,KCLE
CLE,Jets CLE,Cleveland,OH,216-389-6042,,,1500+,$5.67 ,1500+,$5.56 ,,,,,,,,,KCLE
CLM,Citizen Air LLC,Port Angeles,WA,360-452-6226,,, 1 - 300,$5.96 , 1 - 300,$5.88 ,,,,,,,,,KCLM
CLM,Citizen Air LLC,Port Angeles,WA,360-452-6226,,, 301 - 500,$5.91 , 301 - 500,$5.83 ,,,,,,,,,KCLM
CLM,Citizen Air LLC,Port Angeles,WA,360-452-6226,,, 501 - 999,$5.86 , 501 - 999,$5.78 ,,,,,,,,,KCLM
CLM,Citizen Air LLC,Port Angeles,WA,360-452-6226,,,1000+,$5.81 ,1000+,$5.73 ,,,,,,,,,KCLM
CLT,Modern Aviation CLT,Charlotte,NC,704-359-0440,,, 1 - 500,$6.68 , 1 - 500,$6.56 ,1+,$0.00 ,,,1+,$0.00 ,,,KCLT
CLT,Modern Aviation CLT,Charlotte,NC,704-359-0440,,, 501 - 1000,$6.54 , 501 - 1000,$6.42 ,,,,,,,,,KCLT
CLT,Modern Aviation CLT,Charlotte,NC,704-359-0440,,, 1001 - 1500,$6.38 , 1001 - 1500,$6.26 ,,,,,,,,,KCLT
CLT,Modern Aviation CLT,Charlotte,NC,704-359-0440,,, 1501 - 2500,$6.06 , 1501 - 2500,$5.94 ,,,,,,,,,KCLT
CLT,Modern Aviation CLT,Charlotte,NC,704-359-0440,,,2501+,$5.63 ,2501+,$5.51 ,,,,,,,,,KCLT
CMA,Channel Islands Aviation Inc,Camarillo,CA,805-987-1301,,, 0 - 250,$4.57 , 0 - 250,$4.52 ,,,,,,,,,KCMA
CMA,Channel Islands Aviation Inc,Camarillo,CA,805-987-1301,,, 251 - 500,$4.48 , 251 - 500,$4.43 ,,,,,,,,,KCMA
CMA,Channel Islands Aviation Inc,Camarillo,CA,805-987-1301,,,501+,$4.38 ,501+,$4.33 ,,,,,,,,,KCMA
CNO,Chino Fuel Services LLC,Chino,CA,909-579-6566,,,1+,$4.20 ,1+,$4.15 ,,,,,,,,,KCNO
COD,Ascension FBO Network - KCOD,Cody,WY,307-587-9262,,, 0 - 500,$5.91 , 0 - 500,$5.76 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KCOD
COD,Ascension FBO Network - KCOD,Cody,WY,307-587-9262,,, 501 - 1000,$5.33 , 501 - 1000,$5.18 ,,,,,,,,,KCOD
COD,Ascension FBO Network - KCOD,Cody,WY,307-587-9262,,,1001+,$5.18 ,1001+,$5.03 ,,,,,,,,,KCOD
CON,Concord Aviation Services,Concord,NH,603-228-2267,,, 0 - 100,$6.31 , 0 - 100,$6.31 ,,,,,,,,,KCON
CON,Concord Aviation Services,Concord,NH,603-228-2267,,, 101 - 500,$6.17 , 101 - 500,$6.17 ,,,,,,,,,KCON
CON,Concord Aviation Services,Concord,NH,603-228-2267,,, 501 - 1000,$6.07 , 501 - 1000,$6.07 ,,,,,,,,,KCON
CON,Concord Aviation Services,Concord,NH,603-228-2267,,, 1001 - 2000,$5.94 , 1001 - 2000,$5.94 ,,,,,,,,,KCON
CON,Concord Aviation Services,Concord,NH,603-228-2267,,,2001+,$5.82 ,2001+,$5.82 ,,,,,,,,,KCON
COS,Cutter Aviation COS,Colorado Springs,CO,505-842-4184,,, 1 - 500,$4.21 , 1 - 500,$4.21 ,,,,,,,,,KCOS
COS,Cutter Aviation COS,Colorado Springs,CO,505-842-4184,,, 501 - 1000,$4.12 , 501 - 1000,$4.12 ,,,,,,,,,KCOS
COS,Cutter Aviation COS,Colorado Springs,CO,505-842-4184,,, 1001 - 2000,$4.02 , 1001 - 2000,$4.02 ,,,,,,,,,KCOS
COS,Cutter Aviation COS,Colorado Springs,CO,505-842-4184,,,2001+,$3.92 ,2001+,$3.92 ,,,,,,,,,KCOS
CPR,Atlantic CPR,Casper,WY,945-348-3090,,, 1 - 100,$8.22 , 1 - 100,$8.03 ,,,,,,,,,KCPR
CPR,Atlantic CPR,Casper,WY,945-348-3090,,, 101 - 200,$8.11 , 101 - 200,$7.92 ,,,,,,,,,KCPR
CPR,Atlantic CPR,Casper,WY,945-348-3090,,, 201 - 300,$8.00 , 201 - 300,$7.81 ,,,,,,,,,KCPR
CPR,Atlantic CPR,Casper,WY,945-348-3090,,, 301 - 400,$7.88 , 301 - 400,$7.69 ,,,,,,,,,KCPR
CPR,Atlantic CPR,Casper,WY,945-348-3090,,, 401 - 500,$7.78 , 401 - 500,$7.59 ,,,,,,,,,KCPR
CPR,Atlantic CPR,Casper,WY,945-348-3090,,,501+,$7.66 ,501+,$7.47 ,,,,,,,,,KCPR
CPS,Jet Aviation KCPS,Cahokia,IL,618-646-8262,,, 0 - 750,$6.03 , 0 - 750,$6.03 ,1+,$0.00 ,,,1+,$0.00 ,,,KCPS
CPS,Jet Aviation KCPS,Cahokia,IL,618-646-8262,,, 751 - 1500,$5.80 , 751 - 1500,$5.80 ,,,,,,,,,KCPS
CPS,Jet Aviation KCPS,Cahokia,IL,618-646-8262,,, 1501 - 3000,$5.55 , 1501 - 3000,$5.55 ,,,,,,,,,KCPS
CPS,Jet Aviation KCPS,Cahokia,IL,618-646-8262,,,3001+,$5.30 ,3001+,$5.30 ,,,,,,,,,KCPS
CQF,Flightline First CQF,Fairhope,AL,504-252-1265,,,All Quantities,$5.78 ,All Quantities,$5.78 ,1+,$0.00 ,,,1+,$0.00 ,,,KCQF
CRG,Sky Harbor Aviation,Jacksonville,FL,904-641-8555,,,1+,$5.00 ,1+,$4.92 ,,,,,,,,,KCRG
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,, 0 - 100,$7.42 , 0 - 100,$7.22 ,,,,,,,,,KCRP
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,, 101 - 200,$7.31 , 101 - 200,$7.11 ,,,,,,,,,KCRP
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,, 201 - 300,$7.21 , 201 - 300,$7.01 ,,,,,,,,,KCRP
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,, 301 - 400,$7.11 , 301 - 400,$6.91 ,,,,,,,,,KCRP
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,, 401 - 500,$7.00 , 401 - 500,$6.80 ,,,,,,,,,KCRP
CRP,Atlantic CRP,Corpus Christi,TX,945-348-3090,,,501+,$6.89 ,501+,$6.69 ,,,,,,,,,KCRP
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,, 0 - 300,$8.53 , 0 - 300,$8.37 ,,,,,,,,,KCRQ
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,, 301 - 600,$8.30 , 301 - 600,$8.14 ,,,,,,,,,KCRQ
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,, 601 - 900,$8.06 , 601 - 900,$7.90 ,,,,,,,,,KCRQ
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,, 901 - 1200,$7.82 , 901 - 1200,$7.66 ,,,,,,,,,KCRQ
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,, 1201 - 1500,$7.57 , 1201 - 1500,$7.41 ,,,,,,,,,KCRQ
CRQ,Atlantic CRQ,Carlsbad,CA,945-348-3090,,,1501+,$7.33 ,1501+,$7.17 ,,,,,,,,,KCRQ
